MJD   Ra_deg   Dec_deg   Unc_deg   log10(Ereco)
56846.653579   77.33     3.64     0.22     3.02
56853.707298   78.39     5.59     0.23     3.59
56857.310911   78.98     5.11     0.87     3.40
56861.027778   78.63     7.56     1.39     3.31
56864.132690   77.63     6.39     0.83     3.29
56868.609902   75.87     4.50     0.22     2.81
56869.993644   80.02     5.65     0.44     2.81
56872.637385   75.93     4.60     0.54     2.80
56874.442801   79.92     5.84     0.37     2.90
56879.965299   76.30     5.60     0.95     2.80
56880.859212   79.47     3.75     0.66     2.97
56896.928330   75.32     5.41     0.41     2.81
56899.974478   77.13     4.86     0.60     3.07
56908.520255   77.47     2.73     0.45     3.08
56915.275388   79.44     7.53     0.21     3.98
56917.519573   78.26     5.86     0.54     3.05
56919.106235   75.68     4.88     0.75     3.49
56920.586423   79.53     6.95     0.49     3.09
56920.695377   77.17     8.31     0.63     3.16
56921.089815   77.68     7.59     0.49     2.96
56924.355756   79.23     7.62     0.36     3.62
56937.719474   78.25     8.27     0.30     3.18
57106.552838   78.98     5.03     0.46     3.02
57107.484804   77.44     3.74     0.27     3.22
57112.652990   77.14     5.54     0.98     3.46
57116.454596   78.45     3.65     1.16     2.85
57117.008612   77.88     8.01     1.99     2.72
57119.373379   76.53     6.37     0.47     3.01
57124.004008   79.39     4.78     0.60     3.39
57124.672504   76.33     8.21     0.64     2.84
57130.109177   79.41     4.82     1.89     3.23
57138.789817   79.18     6.08     0.47     2.86
57148.606935   79.95     6.53     0.26     3.37
57150.777610   76.80     7.30     1.82     3.08
57159.599401   75.74     4.84     0.40     3.07
57161.051226   76.78     3.00     0.26     3.20
57161.795241   76.59     2.82     0.64     2.96
57163.616084   78.02     3.50     4.25     3.18
57163.647819   77.78     2.77     1.18     2.91
57164.790035   76.62     5.77     1.23     2.20
57165.592225   78.65     6.01     0.29     3.04
57167.623347   76.51     4.61     1.39     2.95
57169.668194   79.53     6.25     0.88     3.01
57170.740199   78.62     3.33     0.99     2.88
57172.431672   75.65     7.99     0.38     3.27
57172.569254   76.12     4.47     0.44     2.82
57175.234426   78.80     3.88     0.36     3.07
57176.840205   78.13     6.31     0.68     2.83
57177.643335   78.01     3.11     0.96     3.21
57177.804819   79.08     3.80     1.32     3.11
57178.744312   77.89     6.98     0.30     3.03
57178.764342   75.85     5.78     0.61     2.73
57180.362719   76.04     3.90     0.37     3.04
57180.467239   79.09     4.71     1.36     2.79
57182.940453   78.45     3.68     0.26     3.63
57183.577121   77.30     4.86     0.57     3.18
57185.261653   77.86     4.10     0.77     2.84
57186.398315   78.27     3.21     0.75     3.22
57189.554888   75.54     4.42     0.60     2.84
